mz intensity
620.008 70
620.065 70
620.121 70
620.178 70
620.234 70
620.291 44
620.347 35
620.404 23
620.460 25
620.517 27
620.573 35
620.630 44
620.686 51
620.743 48
620.799 44
620.856 44
620.912 52
620.969 77
621.025 96
621.082 92
621.138 113
621.195 101
621.251 82
621.308 73
621.365 58
621.421 68
621.478 61
621.534 60
621.591 59
621.647 70
621.704 90
621.760 104
621.817 116
621.874 118
621.930 128
621.987 142
622.043 150
622.100 121
622.156 112
622.213 88
622.270 73
622.326 61
622.383 46
622.439 35
622.496 12
622.553 12
622.609 25
622.666 28
622.722 38
622.779 48
622.836 55
622.892 67
622.949 76
623.005 87
623.062 101
623.119 86
623.175 99
623.232 83
623.289 54
623.345 43
623.402 22
623.458 25
623.515 14
623.572 14
623.628 1
623.685 4
623.742 15
623.798 25
623.855 42
623.912 54
623.968 58
624.025 67
624.082 64
624.138 50
624.195 54
624.252 41
624.308 44
624.365 34
624.422 22
624.478 13
624.535 10
624.592 14
624.649 21
624.705 33
624.762 37
624.819 46
624.875 59
624.932 74
624.989 74
625.045 93
625.102 92
625.159 84
625.216 87
625.272 67
625.329 64
625.386 54
625.443 38
625.499 43
625.556 34
625.613 32
625.669 29
625.726 35
625.783 41
625.840 45
625.896 45
625.953 49
626.010 40
626.067 48
626.124 61
626.180 57
626.237 43
626.294 37
626.351 36
626.407 30
626.464 30
626.521 26
626.578 14
626.635 21
626.691 27
626.748 21
626.805 28
626.862 37
626.918 56
626.975 83
627.032 114
627.089 127
627.146 127
627.203 114
627.259 99
627.316 88
627.373 76
627.430 59
627.487 38
627.543 21
627.600 10
627.657 3
627.714 16
627.771 23
627.828 30
627.884 37
627.941 40
627.998 52
628.055 58
628.112 72
628.169 73
628.226 74
628.282 65
628.339 56
628.396 35
628.453 22
628.510 20
628.567 26
628.624 37
628.681 37
628.737 45
628.794 49
628.851 56
628.908 72
628.965 91
629.022 114
629.079 108
629.136 131
629.193 128
629.249 132
629.306 122
629.363 89
629.420 75
629.477 54
629.534 42
629.591 28
629.648 21
629.705 8
629.762 7
629.819 3
629.876 27
629.933 47
629.989 68
630.046 93
630.103 95
630.160 98
630.217 100
630.274 87
630.331 75
630.388 69
630.445 66
630.502 50
630.559 43
630.616 20
630.673 10
630.730 15
630.787 6
630.844 5
630.901 25
630.958 28
631.015 55
631.072 67
631.129 81
631.186 99
631.243 96
631.300 81
631.357 61
631.414 51
631.471 36
631.528 13
631.585 3
631.642 -12
631.699 -13
631.756 -2
631.813 6
631.870 25
631.927 34
631.984 53
632.041 74
632.098 82
632.155 75
632.212 62
632.269 44
632.326 33
632.383 20
632.440 16
632.497 5
632.554 2
632.611 -7
632.668 -7
632.726 -2
632.783 1
632.840 16
632.897 31
632.954 44
633.011 51
633.068 54
633.125 60
633.182 53
633.239 43
633.296 39
633.353 30
633.410 11
633.468 14
633.525 13
633.582 4
633.639 18
633.696 25
633.753 32
633.810 45
633.867 53
633.924 61
633.982 68
634.039 60
634.096 67
634.153 67
634.210 54
634.267 55
634.324 24
634.381 15
634.439 6
634.496 7
634.553 10
634.610 1
634.667 2
634.724 9
634.782 11
634.839 12
634.896 21
634.953 35
635.010 50
635.067 62
635.125 68
635.182 63
635.239 42
635.296 38
635.353 24
635.410 7
635.468 12
635.525 7
635.582 -3
635.639 -9
635.696 -10
635.754 -15
635.811 -11
635.868 -1
635.925 -1
635.982 13
636.040 30
636.097 55
636.154 71
636.211 82
636.268 85
636.326 69
636.383 40
636.440 30
636.497 4
636.555 -1
636.612 -3
636.669 -10
636.726 6
636.784 1
636.841 13
636.898 22
636.955 25
637.013 48
637.070 59
637.127 72
637.184 65
637.242 51
637.299 46
637.356 32
637.413 34
637.471 26
637.528 11
637.585 10
637.643 -6
637.700 -8
637.757 -14
637.814 -7
637.872 14
637.929 16
637.986 15
638.044 15
638.101 16
638.158 21
638.216 28
638.273 31
638.330 21
638.388 17
638.445 13
638.502 1
638.560 -8
638.617 -15
638.674 -20
638.732 -31
638.789 -28
638.846 -9
638.904 5
638.961 23
639.018 44
639.076 53
639.133 72
639.190 79
639.248 70
639.305 57
639.362 46
639.420 28
639.477 5
639.534 -2
639.592 -22
639.649 -20
639.707 -17
639.764 -12
639.821 -5
639.879 4
639.936 15
639.994 22
640.051 37
640.108 36
640.166 44
640.223 47
640.281 51
640.338 53
640.395 30
640.453 13
640.510 -8
640.568 -19
640.625 -27
640.682 -37
640.740 -29
640.797 -20
640.855 -12
640.912 -3
